Updated,Outlet,Outlet Format,Type of Media,Languages Served 1,Geographic Focus,Communities Served,Outlet Website,Editorial Director Name,Editorial Director Email,Marketing Director Name,Marketing Director Email,Outlet Email,Outlet Phone
,5 Towns Jewish Times,Newspaper,Print and Digital,English,Regional – Metro Area,Jewish,5tjt.com,Larry Gordon,editor@5tjt.com,Debbie Rubin,ads@5tjt.com,editor@5tjt.com,516-984-0079
,Africa in Harlem,Newspaper,Digital,English,Regional – Metro Area,"African-American, African",https://africainharlem.nyc/en/,Isseu Diouf Campbell,isseu@afrikanspot.com,,,isseu@afrikanspot.com,917-204-1582
,African Abroad,Newspaper,Digital,English,Queens,African,,Alex Babba,apoye2424@gmail.com,,,,
21-Apr,African Voices,Magazine,Print and Digital,English,New York City,African,https://africanvoices.com/,,,,,info@africanvoices.com,212-865-2982
21-Apr,Afro Times,Newspaper,Print,English,New York City,African American,,Gareth Brown,gareth1976@gmail.com,,,,
,Ah Blick,Magazine,Digital,"Hebrew, English",National,Jewish,theahblick.com,Mendy Rubin,mrubin@ahblick.org,,,,
,Akhon Samoy,Newspaper,Digital,Thai,International,Thai,akhonsamoy.com,Shamsul Kazi,news@akhonsamoy.com,,,news@akhonsamoy.com,718-565-9099
21-Aug,AKTINA FM Radio,Radio,Broadcast,"Greek, English",Regional,Greek,https://aktinafm.com/,Elena Maroulleti,Aktina@earthlink.net,Elena Maroulleti,Aktina@earthlink.net,aktina@aktina.org,718-545-1151
21-Aug,AKTINA TV,Television,Broadcast,"Greek, English",International,Greek,https://aktinatv.com/,Tom Stouras,Aktina@earthlink.net,Elena Maroulleti,Aktina@earthlink.net,aktina@aktina.org,718-545-1151
,Allewaa Al-Arabi,Newspaper,Print,Arabic,New York City,Arab,allewaaalarabi.com,Angie Damlaki,angie_damlakhi@yahoo.com,Atef Elbeialy Mekawy,atef_elbeialy@yahoo.com,,646-707-2012
21-Nov,Amerikai Nepszava,Newspaper,Print and Digital,Hungarian,,Hungarian,https://www.nepszava.com/about-us.html,,,,,https://www.nepszava.com/contact-us.html,
,AMI Magazine,Magazine,Print and Digital,English,New York City,Jewish,amimagazine.org,Rabbi Yitzchok Frankfurter,editorial@amimagazine.org,Rabbi Yitzchok Frankfurter,ads@amimagazine.org,,718-534-8800
21-Apr,Apna Punjab,Newspaper,Print and Digital,"Punjabi, English",National,Punjabi,http://apnapunjabmedia.com,Gurmit Singh,"gurmitsinghny@gmail.com, apnapunjabnewsroom@gmail.com",,,apnapunjabnewsroom@gmail.com,631-835-8000
,Arab Astoria,Newspaper,Print,Arabic,Queens,Arab,,Nasr Hussain,arabastoria@yahoo.com,Azza Gouda,arabastoria@yahoo.com,arabastoria@yahoo.com,646-775-1531
,Aramica Newspaper,Newspaper,Print and Digital,"Arabic, English",New York City,Arab,,,aramica@aramica.com,,,,718-921-4788
21-Aug,ARY News,Television,Broadcast,"Urdu, English",,Pakistani,https://arydigital.tv,,,,,,
21-Aug,Asia Tribune TV,Television,Broadcast,Urdu,National,South Asian,http://asiantribune.com/,,,,,,
,Astoria Post,Newspaper,Print and Digital,English,Queens,Queens,astoriapost.com,,,,,,
21-Aug,ATN Bangla TV,Television,Broadcast,Bengali,,Bangladeshi,www.atnnewstv.com/?app=home,,,,,,
,Ayllu Times,Newspaper,Print,Spanish,New York City,"Latinx, Peruvian",,Eric Montoya,ayllutimes@hotmail.com,,,ayllutimes@hotmail.com,347-239-3152
21-Aug,Balitang America (ABS-CBN News/ABS-CBN International),Television,Broadcast,English,International,Filipino,https://www.balitangamerica.tv/,,,,,,
,Bangla Patrika,Newspaper,Print,Bengali,National,Bangladeshi,https://www.banglapatrikausa.com/,Abu Taher,abutaher@gmail.com,Rumana Rahman,banglapatrikausa@gmail.com,banglapatrikausa@gmail.com,718-482-9923
21-Apr,Bangla Times,Newspaper,Print and Digital,Bengali,New York City,Bangladeshi,http://banglatimes.com/,,drcshasan@gmail.com,,,,
21-Apr,Bangladesh Pratidin,Newspaper,Print and Digital,"Bengali, English",National,Bangladeshi,http://bd-pratidin.com/northamerica/,Naem Nizam,bdpratidinny@gmail.com,,,lovlu.ansar@gmail.com,718-433-9096
,Bay News,Newspaper,Print and Digital,English,Brooklyn,Brooklyn,,,,,,,
